Popularity,Song,URL,Year
0,To The Floor,http://www.metrolyrics.com/to-the-floor-lyrics-mariah-carey.html,2005
7,Touch My Body,http://www.metrolyrics.com/touch-my-body-lyrics-mariah-carey.html,2008
1,Touch My Body (Remix),http://www.metrolyrics.com/touch-my-body-remix-lyrics-mariah-carey.html,2008
0,Triumphant,http://www.metrolyrics.com/triumphant-lyrics-mariah-carey.html,2012
0,Triumphant (Get 'Em),http://www.metrolyrics.com/triumphant-get-em-lyrics-mariah-carey.html,2012
0,Twister,http://www.metrolyrics.com/twister-lyrics-mariah-carey.html,2006
2,Underneath The Stars,http://www.metrolyrics.com/underneath-the-stars-lyrics-mariah-carey.html,2012
2,Up Out My Face,http://www.metrolyrics.com/up-out-my-face-lyrics-mariah-carey.html,2009
0,Vanishing,http://www.metrolyrics.com/vanishing-lyrics-mariah-carey.html,2012
5,Vision Of Love,http://www.metrolyrics.com/vision-of-love-lyrics-mariah-carey.html,2009
0,Visions Of Love,http://www.metrolyrics.com/visions-of-love-lyrics-mariah-carey.html,2006
0,Want You,http://www.metrolyrics.com/want-you-lyrics-mariah-carey.html,2006
10,We Belong Together,http://www.metrolyrics.com/we-belong-together-lyrics-mariah-carey.html,2005
0,Weakness Of The Body,http://www.metrolyrics.com/weakness-of-the-body-lyrics-mariah-carey.html,2008
0,When Christmas Comes,http://www.metrolyrics.com/when-christmas-comes-lyrics-mariah-carey.html,2010
2,When I Saw You,http://www.metrolyrics.com/when-i-saw-you-lyrics-mariah-carey.html,2006
8,When You Believe,http://www.metrolyrics.com/when-you-believe-lyrics-mariah-carey.html,2009
1,When You Believe (from,http://www.metrolyrics.com/when-you-believe-from-lyrics-mariah-carey.html,2006
0,When You Belive,http://www.metrolyrics.com/when-you-belive-lyrics-mariah-carey.html,2006
4,Whenever You Call,http://www.metrolyrics.com/whenever-you-call-lyrics-mariah-carey.html,2006
5,Whenever You Call (with Brian Mcknight),http://www.metrolyrics.com/whenever-you-call-with-brian-mcknight-lyrics-mariah-carey.html,2006
0,With You,http://www.metrolyrics.com/with-you-lyrics-mariah-carey.html,2018
5,Without You,http://www.metrolyrics.com/without-you-lyrics-mariah-carey.html,2009
1,X-girlfriend,http://www.metrolyrics.com/xgirlfriend-lyrics-mariah-carey.html,2006
2,You Don't Know What to Do,http://www.metrolyrics.com/you-dont-know-what-to-do-lyrics-mariah-carey.html,2014
1,You Got Me,http://www.metrolyrics.com/you-got-me-lyrics-mariah-carey.html,2006
1,You Had Your Chance,http://www.metrolyrics.com/you-had-your-chance-lyrics-mariah-carey.html,2006
0,You Need Me,http://www.metrolyrics.com/you-need-me-lyrics-mariah-carey.html,2006
3,You're Mine,http://www.metrolyrics.com/youre-mine-lyrics-mariah-carey.html,2013
0,You're Mine (Eternal),http://www.metrolyrics.com/youre-mine-eternal-lyrics-mariah-carey.html,2014
0,You're Mine (Eternal) (Remix),http://www.metrolyrics.com/youre-mine-eternal-remix-lyrics-mariah-carey.html,2014
0,You're So Cold,http://www.metrolyrics.com/youre-so-cold-lyrics-mariah-carey.html,2006
0,Your Girl,http://www.metrolyrics.com/your-girl-lyrics-mariah-carey.html,2005
0,Yours,http://www.metrolyrics.com/yours-lyrics-mariah-carey.html,2006
